YEAR,Customer_num ,Establishment_Date,Number_of_Emp,Profit,Sector,Region,Total Risk ,Total Limit,Sales
2016,RATI3776ZCY,34722,8,,RETAIL-WHOLESALE,Central Anatolia Region,2792293,7346488,3
2013,RATI9199RLR,35093,29,101974,MANUFACTURING,Marmara Region,151566,2264551,1
2011,RATI9156HOW,36503,12,103819,RETAIL-WHOLESALE,Marmara Region,131925,261300,0
2014,RATI8002XKE,37845,4,,RETAIL-WHOLESALE,Marmara Region,3604,365292,3
2012,RATI7528GGE,38351,10,,SERVICES,Central Anatolia Region,,,3
2013,RATI2830LHF,37807,15,8514,MANUFACTURING,Central Anatolia Region,303923,634594,0
2017,RATI5768XLI,36173,34,31583,MANUFACTURING,Marmara Region,458738,3179362,0
2015,RATI1698DXL,37721,31,515832,MANUFACTURING,Marmara Region,384433,1327397,1
2016,RATI1622FMS,20217,5,733331,MANUFACTURING,Marmara Region,36221,1430785,0
2013,RATI8168LEK,35963,20,313738,MANUFACTURING,,1628316,4958480,1
2016,RATI9627EQP,38119,25,44720,MANUFACTURING,Aegean Region,435404,1527398,0
2013,RATI4819RQO,33901,50,,SERVICES,Mediterranean Region,156614,465999,3
2017,RATI9224JRC,38377,5,,RETAIL-WHOLESALE,Central Anatolia Region,40382,234083,3
2017,RATI8406MZK,37796,12,,OTHERS,Mediterranean Region,84758,142528,3
2011,RATI5152HKC,35874,16,,RETAIL-WHOLESALE,Black Sea Region,201960,281375,3
2015,RATI1631BBV,40546,14,26672,MANUFACTURING,,205436,329821,0
2011,RATI6163DJE,35060,26,,MANUFACTURING,Marmara Region,188123,1849081,3
2016,RATI4688FTR,41014,13,-44097,MANUFACTURING,Marmara Region,342572,753493,0
2015,RATI5342PQH,34544,3,21872,RETAIL-WHOLESALE,,388613,3082823,0
2013,RATI3318OJT,37324,11,,MANUFACTURING,Marmara Region,48400,150854,3
2012,RATI1973NQK,34723,31,,RETAIL-WHOLESALE,Black Sea Region,760123,1194454,3
2017,RATI4392CON,34724,4,,OTHERS,Mediterranean Region,594331,1109344,3
2015,RATI7091TAC,38727,3,37977,RETAIL-WHOLESALE,Marmara Region,1177576,2733227,0
2014,RATI4914PNM,31059,2,16601,MANUFACTURING,Marmara Region,496525,1837393,0
2017,RATI3164YQG,38631,8,,RETAIL-WHOLESALE,Marmara Region,25500,368846,3
2016,RATI4916WMP,39668,4,226285,RETAIL-WHOLESALE,Marmara Region,727848,1268683,0
2011,RATI8202YAG,30051,15,,MANUFACTURING,Central Anatolia Region,138193,729381,3
2013,RATI6792YYP,37817,15,98901,MANUFACTURING,Marmara Region,1042617,3639905,0
2014,RATI5994WPO,30696,20,239183,RETAIL-WHOLESALE,Central Anatolia Region,3926726,10014136,1
2011,RATI6239YAG,38554,5,253239,RETAIL-WHOLESALE,Central Anatolia Region,1013077,3247271,0
2014,RATI9062PKI,38187,5,176030,MANUFACTURING,Marmara Region,17535,118339,1
2016,RATI1042WAU,38570,7,,RETAIL-WHOLESALE,Central Anatolia Region,851573,1115504,3
2010,RATI8886FTQ,34977,5,89606,RETAIL-WHOLESALE,Aegean Region,1037768,1415164,0
2017,RATI1049UND,39854,5,,OTHERS,Marmara Region,4498,676078,3
2012,RATI4146IIP,35067,12,53831,MANUFACTURING,Marmara Region,1476353,4144765,1
2014,RATI6758HMC,40324,4,191064,RETAIL-WHOLESALE,,20325,34147,0
2013,RATI8340DJS,35986,5,-517956,RETAIL-WHOLESALE,Marmara Region,655866,3049204,0
2017,RATI7121OFS,41620,6,66103,RETAIL-WHOLESALE,Southeastern Anatolia Region,1895384,3809859,0
2013,RATI4010QQF,38762,10,70182,RETAIL-WHOLESALE,Central Anatolia Region,1525503,1922989,0
2017,RATI8318GRI,40795,18,171129,OTHERS,Marmara Region,2210385,3300851,0
2010,RATI6812MIJ,37839,,54246,RETAIL-WHOLESALE,,26260,303297,0
2011,RATI3382ETS,38832,2,96923,OTHERS,Marmara Region,1344341,3578831,1
2016,RATI2619PQQ,41900,1,-8814,RETAIL-WHOLESALE,Marmara Region,856562,928009,0
2016,RATI9475NNY,36789,1,-52876,MANUFACTURING,Central Anatolia Region,58386,1503634,0
2014,RATI6708KJH,39031,3,,SERVICES,Marmara Region,75713,558068,3
2015,RATI2433QZH,40058,2,31331,RETAIL-WHOLESALE,,868301,1341517,0
2015,RATI6706NPO,40765,6,71737,MANUFACTURING,Central Anatolia Region,5661488,11370606,1
2016,RATI8772WEW,37609,26,302439,RETAIL-WHOLESALE,Marmara Region,2401664,5234893,1
2013,RATI9475NNY,36792,1,-14572,MANUFACTURING,Central Anatolia Region,70887,1943044,0
2012,RATI7150GLG,31806,29,136589,MANUFACTURING,Central Anatolia Region,807358,1191422,1
2017,RATI2128ICR,39044,3,,RETAIL-WHOLESALE,Mediterranean Region,436757,1049023,3
2017,RATI5835NLI,38285,10,528377,MANUFACTURING,Central Anatolia Region,897627,1816257,0
2012,RATI5017JGM,40438,6,-171960,RETAIL-WHOLESALE,Mediterranean Region,130573,278018,0
2012,RATI6126VQX,39007,5,205346,RETAIL-WHOLESALE,,22196,631638,1
2012,RATI3303HZZ,38475,35,434226,MANUFACTURING,Marmara Region,1398090,2150955,1
2017,RATI7116VJB,38519,1,13196,RETAIL-WHOLESALE,Marmara Region,782151,916193,0
2017,RATI7729NBM,40569,1,21421,RETAIL-WHOLESALE,Central Anatolia Region,391003,2509332,0
2010,RATI7080YOR,35111,,323721,RETAIL-WHOLESALE,Marmara Region,54751,188328,0
2015,RATI3228CDK,38971,1,54816,MANUFACTURING,Central Anatolia Region,2436705,3144203,0
2017,RATI9571DKB,36688,1,,MANUFACTURING,Central Anatolia Region,56513,325457,3
2017,RATI1625NSN,36466,5,-47250,RETAIL-WHOLESALE,Mediterranean Region,2543377,3601039,0
2013,RATI5303MNE,38986,1,,RETAIL-WHOLESALE,Central Anatolia Region,,,3
2017,RATI4904JGD,36540,16,,MANUFACTURING,Southeastern Anatolia Region,49818,2543652,3
2011,RATI2428HTP,34929,5,10379,RETAIL-WHOLESALE,Marmara Region,984939,1194018,0
2015,RATI6199JXN,40373,13,68960,OTHERS,,2370565,7032328,0
2011,RATI4485XLN,38568,10,37920,MANUFACTURING,Marmara Region,1272107,2089907,1
2012,RATI9341GIG,39490,8,59627,RETAIL-WHOLESALE,Central Anatolia Region,2887683,3853138,0
2010,RATI8206RUB,37664,,,RETAIL-WHOLESALE,Marmara Region,78084,621465,3
2010,RATI1702FJG,38266,,,RETAIL-WHOLESALE,Marmara Region,201740,724441,3
2013,RATI7874FOW,39563,2,444769,RETAIL-WHOLESALE,Marmara Region,36530,1183979,0
2013,RATI8871PID,39395,5,,RETAIL-WHOLESALE,Marmara Region,254066,659302,3
2014,RATI9114QQN,35256,5,26114,RETAIL-WHOLESALE,Marmara Region,337845,970927,0
2017,RATI4544NEJ,41053,9,123709,RETAIL-WHOLESALE,Marmara Region,963535,3377011,0
2014,RATI4285PSG,33987,10,,RETAIL-WHOLESALE,Black Sea Region,447510,1835667,3
2012,RATI2044DZJ,34801,21,54225,MANUFACTURING,Marmara Region,381498,996845,0
2014,RATI3631GPT,37239,16,95826,RETAIL-WHOLESALE,Marmara Region,389879,1974079,1
2015,RATI1077KXC,33478,10,81731,RETAIL-WHOLESALE,Aegean Region,1146923,4670005,0
2014,RATI9571DKB,36697,1,13361,MANUFACTURING,Central Anatolia Region,61918,435756,0
2015,RATI4233MBA,35380,3,54165,RETAIL-WHOLESALE,Marmara Region,279359,1163843,0
2010,RATI6494NTC,35820,8,4595,RETAIL-WHOLESALE,Marmara Region,288319,766046,0
2017,RATI1464XWA,39165,7,64303,MANUFACTURING,Marmara Region,671251,1352043,0
2012,RATI6758ZOW,33608,9,8020,MANUFACTURING,Marmara Region,1159723,3388246,0
2015,RATI5281ROC,39601,21,,RETAIL-WHOLESALE,Marmara Region,9267496,40736583,3
2017,RATI5571GFP,38954,2,537556,OTHERS,Marmara Region,403673,1412697,0
2017,RATI1611TRM,37859,23,133354,RETAIL-WHOLESALE,Central Anatolia Region,917960,2005830,0
2014,RATI9437LOU,33970,2,8943,RETAIL-WHOLESALE,Marmara Region,35271,196522,0
2014,RATI7814DSC,38203,18,147414,MANUFACTURING,Central Anatolia Region,5515958,9724630,1
2016,RATI2510XRS,40855,9,,RETAIL-WHOLESALE,Marmara Region,14400,87613,3
2017,RATI9498RPH,38084,30,498428,SERVICES,Black Sea Region,771256,3642867,0
2011,RATI2786YHF,37915,2,8842,RETAIL-WHOLESALE,Central Anatolia Region,97626,283487,0
2017,RATI9063EGC,40224,2,-145429,RETAIL-WHOLESALE,Central Anatolia Region,43702,102690,0
2016,RATI4574JXM,40108,2,553685,MANUFACTURING,Central Anatolia Region,376354,1106902,1
2013,RATI4040TQE,35851,10,53164,MANUFACTURING,Southeastern Anatolia Region,951265,1264315,1
2017,RATI9154MYU,34194,16,36950,MANUFACTURING,Marmara Region,677491,2242072,0
2011,RATI7201XMY,38947,3,-59854,RETAIL-WHOLESALE,,306808,969388,0
2016,RATI6185UEA,35447,7,-171643,RETAIL-WHOLESALE,Aegean Region,1504459,3416572,0
2011,RATI7108TOP,35439,3,,RETAIL-WHOLESALE,Mediterranean Region,498455,828693,3
2017,RATI3148MFT,40502,10,,RETAIL-WHOLESALE,Central Anatolia Region,546491,2523571,3
2015,RATI6220KZV,35007,25,14165,MANUFACTURING,Black Sea Region,1759335,10285437,0
2016,RATI7149YAT,33193,9,130259,RETAIL-WHOLESALE,Mediterranean Region,174351,783553,0
2017,RATI4979PFA,38036,10,230360,MANUFACTURING,Marmara Region,429824,6834085,0
2015,RATI3441GOM,35401,62,6680,MANUFACTURING,Marmara Region,399612,3194711,1
2013,RATI8419GKI,35476,15,197440,MANUFACTURING,Central Anatolia Region,826262,3509791,0
2015,RATI6461OYU,32904,21,271433,MANUFACTURING,Central Anatolia Region,2361440,5330360,0
2017,RATI8551NKF,39451,3,153763,RETAIL-WHOLESALE,Black Sea Region,395935,2496988,0
2017,RATI8105CSV,36112,14,43081,MANUFACTURING,Central Anatolia Region,656144,1123508,0
2015,RATI6641WEJ,35924,13,,RETAIL-WHOLESALE,Marmara Region,319307,1014473,3
2010,RATI1143ZES,36952,,,RETAIL-WHOLESALE,Marmara Region,268059,3356025,3
2016,RATI7008MIU,39862,17,416905,OTHERS,Marmara Region,313126,3379129,0
2013,RATI8081VHW,34254,11,169446,RETAIL-WHOLESALE,Aegean Region,185472,597731,0
2013,RATI2835OUW,38423,21,97552,RETAIL-WHOLESALE,Central Anatolia Region,2516738,4772219,1
2013,RATI4054BGS,35062,5,26017,RETAIL-WHOLESALE,Aegean Region,2215138,2714713,0
2012,RATI4911GYW,38921,5,-327966,RETAIL-WHOLESALE,Marmara Region,164632,3636393,0
2015,RATI5182TFV,40613,2,68713,RETAIL-WHOLESALE,Marmara Region,325162,3861165,1
2010,RATI3437GIJ,39519,1111,36928,RETAIL-WHOLESALE,Marmara Region,87970,130205,0
2017,RATI5756RCD,41386,30,,MANUFACTURING,Marmara Region,432850,1788385,3
2017,RATI7046KMQ,40509,5,22509,RETAIL-WHOLESALE,Central Anatolia Region,2935935,3503624,0
2010,RATI1077KXC,33455,,,RETAIL-WHOLESALE,Aegean Region,21417,1808611,3
2017,RATI2999ELH,34962,5,93516,MANUFACTURING,Marmara Region,671484,1462166,0
2010,RATI8915EBY,39231,5,108185,RETAIL-WHOLESALE,Marmara Region,59775,147515,0
2015,RATI2944WGH,40899,5,103511,MANUFACTURING,Mediterranean Region,1835238,5308248,0
2012,RATI4293YYZ,35510,5,-78500,RETAIL-WHOLESALE,,406234,805299,0
2017,RATI1257NXW,40828,1,24855,RETAIL-WHOLESALE,Marmara Region,12417,39892,0
2016,RATI5701JNQ,38717,5,,RETAIL-WHOLESALE,Marmara Region,320327,764129,3
2015,RATI7747HXX,39170,3,86790,RETAIL-WHOLESALE,Marmara Region,26967,61542,0
2017,RATI9123GLV,30540,11,68909,RETAIL-WHOLESALE,Marmara Region,209215,388798,0
2015,RATI8104EZO,41287,1,-377789,SERVICES,Mediterranean Region,912267,1789470,0
2016,RATI2374FPM,35093,5,-36323,MANUFACTURING,Marmara Region,179934,191660,0
2014,RATI6568QUF,36925,7,,RETAIL-WHOLESALE,Marmara Region,28754,175906,3
2010,RATI4658JOF,38381,,,RETAIL-WHOLESALE,Mediterranean Region,75586,245013,3
2010,RATI4631WKD,38701,,155333,OTHERS,Marmara Region,210005,542117,0
2017,RATI1695FPZ,41031,4,29718,OTHERS,Black Sea Region,1999272,4476437,0
2015,RATI1840AKM,34186,6,82491,RETAIL-WHOLESALE,Mediterranean Region,375554,1842881,0
2015,RATI8118OIO,40833,1,139094,RETAIL-WHOLESALE,Marmara Region,204795,203031,0
2017,RATI5594ZXR,40556,6,,MANUFACTURING,Central Anatolia Region,50195,321277,3
2015,RATI1185XXM,40110,11,9897,OTHERS,Central Anatolia Region,234312,1147116,0
2012,RATI9725PWN,38846,5,,RETAIL-WHOLESALE,Black Sea Region,2125308,3762569,3
2015,RATI5647SYV,35346,21,157947,MANUFACTURING,Marmara Region,124558,1576436,0
2012,RATI8049PYB,38376,3,51944,RETAIL-WHOLESALE,Central Anatolia Region,177156,650526,0
2016,RATI6510VIO,35083,3,45375,RETAIL-WHOLESALE,Marmara Region,663339,1807425,0
2016,RATI1464USP,35140,7,,RETAIL-WHOLESALE,Marmara Region,134842,1288653,3
2015,RATI7201XMY,38955,30,,RETAIL-WHOLESALE,Aegean Region,144858,1980660,3
2017,RATI2914OVI,35794,5,5809,RETAIL-WHOLESALE,Central Anatolia Region,210016,284167,0
2010,RATI4661LRP,36286,,,MANUFACTURING,Central Anatolia Region,91973,676968,3
2013,RATI3812UGH,35075,12,-63768,MANUFACTURING,Marmara Region,333644,880807,0
2016,RATI7812WFE,40949,3,,RETAIL-WHOLESALE,,688,47184,3
2015,RATI7099SNP,40923,36,60837,RETAIL-WHOLESALE,Marmara Region,891634,2316539,0
2015,RATI3253ALZ,35449,30,,OTHERS,Black Sea Region,719591,1524010,3
2014,RATI5621VPM,38719,19,99065,OTHERS,Eastern Anatolia Region,35530,340848,0
2016,RATI6319KYJ,39695,3,24038,MANUFACTURING,,541432,815093,0
2010,RATI1928EEL,37238,,,OTHERS,Marmara Region,1523,343838,3
2016,RATI5241QMR,41552,1,422274,RETAIL-WHOLESALE,,3337891,5833049,0
2012,RATI7385DZZ,33543,6,9301,RETAIL-WHOLESALE,Aegean Region,493376,756309,0
2017,RATI1262TGP,34730,3,-56719,RETAIL-WHOLESALE,Marmara Region,1528503,12441054,0
2013,RATI2349YWY,36764,5,-327862,RETAIL-WHOLESALE,Marmara Region,81582,226816,0
2014,RATI2845MAK,37648,20,,MANUFACTURING,Marmara Region,1851,411095,3
2012,RATI3228ZEC,36923,10,62375,MANUFACTURING,Southeastern Anatolia Region,1871064,4866681,0
2012,RATI7091TAC,38728,3,36853,RETAIL-WHOLESALE,Marmara Region,230668,1018203,0
2013,RATI6920MNA,40049,2,55255,MANUFACTURING,,24693,408515,0
2015,RATI6682DXI,38374,4,,RETAIL-WHOLESALE,Marmara Region,11839,591073,3
2012,RATI5071CWR,38153,8,29286,OTHERS,Mediterranean Region,231419,343460,0
2015,RATI8390OVQ,31233,41,104372,OTHERS,Marmara Region,388773,531124,0
2012,RATI8066DWM,36919,5,1049,RETAIL-WHOLESALE,Aegean Region,129854,819732,0
2011,RATI3651MGL,39112,7,-36933,RETAIL-WHOLESALE,Mediterranean Region,697848,932699,0
2012,RATI1079WVR,38360,2,27752,SERVICES,Mediterranean Region,164894,232897,0
2015,RATI7484DBJ,34373,9,79990,RETAIL-WHOLESALE,Aegean Region,342718,1228982,1
2016,RATI8758LIS,37972,4,-31549,RETAIL-WHOLESALE,Aegean Region,43156,358185,0
2012,RATI4243LBY,35796,34,,RETAIL-WHOLESALE,Aegean Region,2082798,3125927,3
2013,RATI4725CJH,39797,16,,MANUFACTURING,Marmara Region,335256,831610,3
2011,RATI6197ZQH,39406,10,65708,RETAIL-WHOLESALE,Marmara Region,,,0
2010,RATI4269AOT,37640,,71031,RETAIL-WHOLESALE,Marmara Region,9360,25096,0
2013,RATI5376HJX,40251,16,,MANUFACTURING,Marmara Region,12149,282487,3
2014,RATI1285TZM,34748,6,36645,RETAIL-WHOLESALE,Marmara Region,35827,1201955,0
2017,RATI7446WIW,35388,7,-104747,RETAIL-WHOLESALE,Marmara Region,3578435,7496793,1
2014,RATI5888BVC,35962,5,996157,RETAIL-WHOLESALE,Central Anatolia Region,817962,18910923,0
2016,RATI8932XFG,39042,1,,OTHERS,Marmara Region,0,76401,3
2016,RATI1351LGM,33998,5,,MANUFACTURING,Marmara Region,44715,235111,3
2017,RATI5026JYR,41153,7,101429,MANUFACTURING,Marmara Region,250759,1695258,0
2013,RATI8304RNO,34001,66,,MANUFACTURING,Marmara Region,1787024,2697114,3
2017,RATI5407FON,36757,14,,RETAIL-WHOLESALE,Aegean Region,769281,2484326,3
2017,RATI7778MTR,38910,2,397382,RETAIL-WHOLESALE,Marmara Region,181922,246998,0
2010,RATI7521JAH,34729,,50937,RETAIL-WHOLESALE,Black Sea Region,30657,1782779,0
2017,RATI1427ZJO,36172,17,123911,OTHERS,,7756706,18922121,0
2014,RATI7539KOA,40060,8,,RETAIL-WHOLESALE,Marmara Region,8971991,18885805,3
2017,RATI5575MFY,41434,12,79661,MANUFACTURING,,867046,4440588,0
2010,RATI8733UHO,37872,42,106823,RETAIL-WHOLESALE,Central Anatolia Region,1238414,1631826,1
2017,RATI1038LKA,41178,3,49521,MANUFACTURING,Marmara Region,33099,885121,0
2016,RATI1550DWW,40624,3,20167,RETAIL-WHOLESALE,,515031,1641149,0
2016,RATI8497RCF,36820,5,15160,RETAIL-WHOLESALE,,2085937,5825392,0
2011,RATI9805ZGV,32892,21,-442680,OTHERS,Marmara Region,1136634,7593205,0
2010,RATI6395DSA,35202,,49176,RETAIL-WHOLESALE,Aegean Region,2978579,4208101,0
2014,RATI2556CEM,38744,7,,RETAIL-WHOLESALE,Marmara Region,1738897,4607592,3
2017,RATI6642RLJ,40983,1,64956,OTHERS,Mediterranean Region,313550,543636,0
2010,RATI8101WUX,37397,,29574,RETAIL-WHOLESALE,Mediterranean Region,537130,828677,0
2014,RATI6086XPB,36171,29,65628,MANUFACTURING,,942990,2354719,0
2014,RATI4263FQZ,37138,2,,SERVICES,Marmara Region,30035,3099302,3
2017,RATI5254BUL,39954,12,310412,MANUFACTURING,Central Anatolia Region,17026,180294,0
2011,RATI7710MTA,38329,3,,RETAIL-WHOLESALE,Central Anatolia Region,2557,73688,3
2010,RATI9159RMM,37027,,-423559,RETAIL-WHOLESALE,Marmara Region,59826,1024946,1
2015,RATI3156NCT,35065,20,-50387,MANUFACTURING,Marmara Region,1301615,1947845,0
2013,RATI9967RUJ,40279,5,8347,MANUFACTURING,Southeastern Anatolia Region,859404,1357130,0
2014,RATI9549XTE,40479,2,,MANUFACTURING,Marmara Region,4705,31075,3
2012,RATI9275WSA,40091,2,103584,RETAIL-WHOLESALE,Central Anatolia Region,193570,740732,1
2012,RATI5101RND,32516,5,1785,OTHERS,Marmara Region,1281749,1357974,0
2013,RATI9874DOS,40149,13,,RETAIL-WHOLESALE,,92450,875377,3
2015,RATI8347DKT,38529,10,-113045,RETAIL-WHOLESALE,Marmara Region,47288,2237503,0
2015,RATI9474JUH,40756,3,89362,OTHERS,Marmara Region,118659,596176,0
2016,RATI5478MLK,37281,6,,MANUFACTURING,Marmara Region,416844,473599,3
2015,RATI9169CAD,37645,5,13065,SERVICES,Marmara Region,568102,1001222,0
2017,RATI1658OHM,35836,2,6430,RETAIL-WHOLESALE,Marmara Region,558633,901804,0
2016,RATI3086RSY,38151,7,,OTHERS,Central Anatolia Region,12009,2353455,3
2016,RATI6242FYL,39241,16,102974,OTHERS,,88748,3973019,1
2014,RATI5111NEO,31859,89,216595,MANUFACTURING,Black Sea Region,131072,887862,0
2015,RATI9298VOV,34930,3,,SERVICES,Mediterranean Region,194892,439480,3
2017,RATI8362KQQ,40224,10,172644,OTHERS,Marmara Region,405460,1035127,0
2012,RATI1681ZXR,35703,15,,MANUFACTURING,Marmara Region,208472,1455294,3
2017,RATI7155BMN,36679,1,,RETAIL-WHOLESALE,Marmara Region,32649,73898,3
2011,RATI8462QWT,39233,3,16387,RETAIL-WHOLESALE,Mediterranean Region,2213750,4408748,0
2013,RATI8981LVM,39003,3,147979,RETAIL-WHOLESALE,Mediterranean Region,800997,1201674,0
2017,RATI5708ZRY,40933,3,6674,RETAIL-WHOLESALE,Mediterranean Region,1440424,2673002,0
2013,RATI4332EHO,33755,31,-603389,RETAIL-WHOLESALE,Mediterranean Region,3897664,10673104,1
2017,RATI6130SWB,35811,9,,RETAIL-WHOLESALE,Black Sea Region,787,130377,3
2013,RATI8241TOU,37194,2,,OTHERS,Mediterranean Region,2000330,2918844,3
2017,RATI3751YKM,40007,2,,OTHERS,Central Anatolia Region,1397461,9482139,3
2016,RATI1186XVD,31377,2,42718,RETAIL-WHOLESALE,Eastern Anatolia Region,281136,737563,0
2017,RATI5227XOO,35725,8,145714,MANUFACTURING,Marmara Region,64104,2924104,0
2012,RATI7808NZA,38841,5,42301,RETAIL-WHOLESALE,Marmara Region,171991,341901,0
2010,RATI9160MKC,35439,4,31470,RETAIL-WHOLESALE,Marmara Region,56555,187402,0
2012,RATI2088TBI,40436,11,-539684,OTHERS,,629896,3460251,0
2016,RATI4726HTA,34364,12,84712,RETAIL-WHOLESALE,Mediterranean Region,2331224,4487445,1
2015,RATI4030FRH,34357,16,,MANUFACTURING,Aegean Region,358349,1125022,3
2014,RATI2216UUN,38945,2,409335,RETAIL-WHOLESALE,Central Anatolia Region,471645,1371539,0
2016,RATI6091DIH,33374,7,63715,RETAIL-WHOLESALE,Mediterranean Region,236096,803363,0
2012,RATI9902HVT,40418,20,-104190,RETAIL-WHOLESALE,Marmara Region,445502,1130313,0
2013,RATI7785QXB,29601,29,,MANUFACTURING,Marmara Region,45281,128796,3
2015,RATI9870MUZ,40507,3,13217,RETAIL-WHOLESALE,Marmara Region,34806,102427,0
2013,RATI9280MXI,34897,6,,RETAIL-WHOLESALE,Marmara Region,947720,1820866,3
2016,RATI1681ZXR,35706,18,132800,MANUFACTURING,Marmara Region,514187,6374790,0
2017,RATI4732DGT,39199,1,37000,RETAIL-WHOLESALE,Marmara Region,240421,407973,0
